horizon,model,interval_score,sharpness,underprediction,overprediction,coverage_deviation,bias,aem,scale
0,"Reference: Fixed, Report: Fixed",24.9,17.7,5.41,1.2,0.0881,-0.0736,43.8,natural
0,"Reference: Fixed, Report: Day of week",36,11,17.8,6.52,-0.144,-0.0256,68.1,natural
0,"Reference: Age, Report: Day of week",42.5,11,24.1,6.8,-0.15,-0.147,75.6,natural
0,"Reference: Age and week, Report: Day of week",43.1,11.3,23.7,7.44,-0.156,-0.142,76.3,natural
0,"Reference: Age and week by age, Report: Day of week",56.5,13,35.5,7.17,-0.205,-0.231,95.7,natural
0,"Independent by age, Reference: Week, Report: Day of week",34.9,14.7,10.2,9.39,-0.0418,-0.0983,66.5,natural
0,"Independent by age, Reference: Week and day of week, Report: Day of week",23.5,13.9,5.69,3.43,0.0278,-0.121,43.8,natural
-7,"Reference: Fixed, Report: Fixed",0.0544,0.0197,0.0161,0.018,-0.0684,-0.116,0.106,log
-7,"Reference: Fixed, Report: Day of week",0.0652,0.0176,0.0212,0.026,-0.177,-0.0836,0.115,log
-7,"Reference: Age, Report: Day of week",0.0659,0.0193,0.0105,0.0359,-0.141,0.155,0.118,log
-7,"Reference: Age and week, Report: Day of week",0.0666,0.0193,0.0102,0.0367,-0.144,0.167,0.117,log
-7,"Reference: Age and week by age, Report: Day of week",0.0616,0.0198,0.0114,0.0299,-0.0781,0.0989,0.115,log
-7,"Independent by age, Reference: Week, Report: Day of week",0.0456,0.0191,0.0151,0.0108,-0.0334,-0.0703,0.0959,log
-7,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0451,0.0191,0.0163,0.00909,-0.0213,-0.113,0.0928,log
-6,"Reference: Fixed, Report: Fixed",0.074,0.0214,0.0266,0.0252,-0.141,-0.169,0.135,log
-6,"Reference: Fixed, Report: Day of week",0.0762,0.0189,0.0286,0.0283,-0.209,-0.116,0.132,log
-6,"Reference: Age, Report: Day of week",0.0781,0.0202,0.0175,0.0399,-0.181,0.0997,0.138,log
-6,"Reference: Age and week, Report: Day of week",0.0793,0.0203,0.0174,0.0412,-0.185,0.104,0.138,log
-6,"Reference: Age and week by age, Report: Day of week",0.0741,0.0213,0.0215,0.0306,-0.131,-0.0429,0.136,log
-6,"Independent by age, Reference: Week, Report: Day of week",0.0532,0.0209,0.02,0.0116,-0.0755,-0.148,0.101,log
-6,"Independent by age, Reference: Week and day of week, Report: Day of week",0.051,0.02,0.021,0.00925,-0.0513,-0.207,0.0982,log
-5,"Reference: Fixed, Report: Fixed",0.0985,0.0238,0.0432,0.0307,-0.215,-0.161,0.172,log
-5,"Reference: Fixed, Report: Day of week",0.0899,0.0204,0.0369,0.0319,-0.238,-0.119,0.153,log
-5,"Reference: Age, Report: Day of week",0.0872,0.0229,0.0399,0.0237,-0.194,-0.198,0.15,log
-5,"Reference: Age and week, Report: Day of week",0.0902,0.0226,0.0417,0.0252,-0.198,-0.212,0.152,log
-5,"Reference: Age and week by age, Report: Day of week",0.0921,0.0226,0.0471,0.0217,-0.186,-0.296,0.151,log
-5,"Independent by age, Reference: Week, Report: Day of week",0.0622,0.0233,0.0259,0.0121,-0.108,-0.204,0.118,log
-5,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0577,0.0232,0.0251,0.00848,-0.0671,-0.243,0.109,log
-4,"Reference: Fixed, Report: Fixed",0.12,0.0264,0.0551,0.0377,-0.239,-0.15,0.203,log
-4,"Reference: Fixed, Report: Day of week",0.1,0.0227,0.04,0.0366,-0.23,-0.112,0.168,log
-4,"Reference: Age, Report: Day of week",0.104,0.0249,0.0505,0.0275,-0.198,-0.223,0.174,log
-4,"Reference: Age and week, Report: Day of week",0.105,0.025,0.0524,0.0271,-0.2,-0.24,0.175,log
-4,"Reference: Age and week by age, Report: Day of week",0.119,0.0252,0.0719,0.0205,-0.24,-0.416,0.188,log
-4,"Independent by age, Reference: Week, Report: Day of week",0.068,0.0261,0.0281,0.0126,-0.0996,-0.233,0.131,log
-4,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0611,0.0249,0.0263,0.0087,-0.0589,-0.256,0.111,log
-3,"Reference: Fixed, Report: Fixed",0.136,0.0303,0.0589,0.0461,-0.217,-0.131,0.229,log
-3,"Reference: Fixed, Report: Day of week",0.113,0.0253,0.0379,0.0487,-0.2,-0.0631,0.187,log
-3,"Reference: Age, Report: Day of week",0.116,0.0274,0.0504,0.0375,-0.19,-0.188,0.193,log
-3,"Reference: Age and week, Report: Day of week",0.118,0.0275,0.052,0.0372,-0.186,-0.195,0.196,log
-3,"Reference: Age and week by age, Report: Day of week",0.144,0.0292,0.0791,0.0347,-0.258,-0.406,0.226,log
-3,"Independent by age, Reference: Week, Report: Day of week",0.0715,0.0298,0.025,0.0156,-0.0614,-0.202,0.14,log
-3,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0748,0.0285,0.0257,0.0195,-0.0337,-0.207,0.131,log
-2,"Reference: Fixed, Report: Fixed",0.151,0.0365,0.0605,0.0524,-0.164,-0.0489,0.254,log
-2,"Reference: Fixed, Report: Day of week",0.128,0.0294,0.0336,0.0646,-0.18,0.0262,0.21,log
-2,"Reference: Age, Report: Day of week",0.135,0.0317,0.0479,0.0546,-0.188,-0.103,0.223,log
-2,"Reference: Age and week, Report: Day of week",0.135,0.0321,0.0486,0.0537,-0.177,-0.1,0.223,log
-2,"Reference: Age and week by age, Report: Day of week",0.162,0.0345,0.0887,0.0413,-0.229,-0.364,0.264,log
-2,"Independent by age, Reference: Week, Report: Day of week",0.0852,0.0346,0.0224,0.0271,-0.0271,-0.0624,0.158,log
-2,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0809,0.0345,0.0236,0.0218,-0.0207,-0.0728,0.15,log
-1,"Reference: Fixed, Report: Fixed",0.143,0.0472,0.0437,0.0507,-0.0777,0.00568,0.256,log
-1,"Reference: Fixed, Report: Day of week",0.15,0.0359,0.0303,0.0833,-0.171,0.106,0.25,log
-1,"Reference: Age, Report: Day of week",0.156,0.0381,0.0451,0.0716,-0.17,-0.0478,0.261,log
-1,"Reference: Age and week, Report: Day of week",0.156,0.0387,0.0448,0.0716,-0.158,-0.0351,0.26,log
-1,"Reference: Age and week by age, Report: Day of week",0.176,0.0447,0.0784,0.0508,-0.168,-0.222,0.291,log
-1,"Independent by age, Reference: Week, Report: Day of week",0.111,0.0433,0.0223,0.044,-0.0327,0.0499,0.202,log
-1,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0971,0.043,0.0205,0.0325,0.00979,0.00949,0.181,log
0,"Reference: Fixed, Report: Fixed",0.132,0.0696,0.0186,0.0423,0.0881,-0.0736,0.235,log
0,"Reference: Fixed, Report: Day of week",0.186,0.0518,0.0413,0.0912,-0.144,-0.0256,0.324,log
0,"Reference: Age, Report: Day of week",0.194,0.0532,0.0575,0.0818,-0.15,-0.147,0.336,log
0,"Reference: Age and week, Report: Day of week",0.196,0.0538,0.0582,0.0825,-0.156,-0.142,0.34,log
0,"Reference: Age and week by age, Report: Day of week",0.247,0.0618,0.109,0.0745,-0.205,-0.231,0.415,log
0,"Independent by age, Reference: Week, Report: Day of week",0.159,0.0612,0.0354,0.0605,-0.0418,-0.0983,0.289,log
0,"Independent by age, Reference: Week and day of week, Report: Day of week",0.136,0.0602,0.0313,0.0428,0.0278,-0.121,0.241,log
