age_group,model,interval_score,sharpness,underprediction,overprediction,coverage_deviation,bias,aem,scale
00+,"Reference: Fixed, Report: Fixed",0.0806,0.0281,0.0402,0.0121,-0.149,-0.247,0.141,log
00+,"Reference: Fixed, Report: Day of week",0.0748,0.0173,0.0307,0.0268,-0.274,-0.172,0.126,log
00+,"Reference: Age, Report: Day of week",0.078,0.0191,0.0427,0.0159,-0.258,-0.328,0.136,log
00+,"Reference: Age and week, Report: Day of week",0.0804,0.0195,0.0437,0.0168,-0.258,-0.318,0.14,log
00+,"Reference: Age and week by age, Report: Day of week",0.104,0.0231,0.0696,0.0114,-0.265,-0.499,0.173,log
00+,"Independent by age, Reference: Week, Report: Day of week",0.0651,0.0203,0.0233,0.0209,-0.185,-0.218,0.119,log
00+,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0497,0.0194,0.0185,0.0114,-0.11,-0.231,0.0914,log
00-04,"Reference: Fixed, Report: Fixed",0.116,0.0398,0.00514,0.0706,-0.0537,0.43,0.217,log
00-04,"Reference: Fixed, Report: Day of week",0.146,0.0377,0.00297,0.105,-0.113,0.52,0.254,log
00-04,"Reference: Age, Report: Day of week",0.127,0.0384,0.00642,0.0822,-0.0611,0.41,0.229,log
00-04,"Reference: Age and week, Report: Day of week",0.129,0.0387,0.00711,0.0824,-0.062,0.409,0.23,log
00-04,"Reference: Age and week by age, Report: Day of week",0.12,0.0411,0.0152,0.0635,-0.0341,0.246,0.215,log
00-04,"Independent by age, Reference: Week, Report: Day of week",0.0906,0.0391,0.0275,0.0229,0.0121,-0.131,0.174,log
00-04,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0901,0.0397,0.0277,0.0215,0.0146,-0.148,0.173,log
05-14,"Reference: Fixed, Report: Fixed",0.151,0.0454,0.0118,0.093,-0.0423,0.236,0.274,log
05-14,"Reference: Fixed, Report: Day of week",0.181,0.0431,0.0081,0.129,-0.0815,0.348,0.306,log
05-14,"Reference: Age, Report: Day of week",0.163,0.0449,0.0126,0.105,-0.0484,0.244,0.28,log
05-14,"Reference: Age and week, Report: Day of week",0.165,0.0448,0.0133,0.106,-0.0496,0.245,0.281,log
05-14,"Reference: Age and week by age, Report: Day of week",0.163,0.0473,0.0278,0.0888,-0.0451,0.106,0.285,log
05-14,"Independent by age, Reference: Week, Report: Day of week",0.131,0.0498,0.0357,0.0443,-0.033,-0.118,0.255,log
05-14,"Independent by age, Reference: Week and day of week, Report: Day of week",0.133,0.0509,0.04,0.0416,-0.0297,-0.148,0.247,log
15-34,"Reference: Fixed, Report: Fixed",0.0832,0.0314,0.0219,0.0296,-0.102,0.0674,0.151,log
15-34,"Reference: Fixed, Report: Day of week",0.0889,0.0247,0.0138,0.0502,-0.162,0.174,0.154,log
15-34,"Reference: Age, Report: Day of week",0.0797,0.0258,0.022,0.0316,-0.102,-0.0127,0.141,log
15-34,"Reference: Age and week, Report: Day of week",0.0815,0.0262,0.0227,0.0322,-0.108,-0.0115,0.145,log
15-34,"Reference: Age and week by age, Report: Day of week",0.0966,0.029,0.0436,0.0235,-0.135,-0.214,0.167,log
15-34,"Independent by age, Reference: Week, Report: Day of week",0.071,0.0283,0.0201,0.0219,-0.0545,-0.12,0.131,log
15-34,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0671,0.0287,0.0185,0.0192,-0.0308,-0.115,0.124,log
35-59,"Reference: Fixed, Report: Fixed",0.124,0.0312,0.0887,0.00478,-0.22,-0.541,0.207,log
35-59,"Reference: Fixed, Report: Day of week",0.12,0.0218,0.0868,0.0126,-0.313,-0.556,0.19,log
35-59,"Reference: Age, Report: Day of week",0.142,0.0232,0.113,0.00712,-0.36,-0.668,0.223,log
35-59,"Reference: Age and week, Report: Day of week",0.142,0.0237,0.112,0.00691,-0.353,-0.66,0.224,log
35-59,"Reference: Age and week by age, Report: Day of week",0.184,0.027,0.151,0.00628,-0.397,-0.737,0.279,log
35-59,"Independent by age, Reference: Week, Report: Day of week",0.0783,0.03,0.0275,0.0201,-0.1,-0.227,0.146,log
35-59,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0675,0.0296,0.0249,0.0125,-0.0572,-0.248,0.127,log
60-79,"Reference: Fixed, Report: Fixed",0.0912,0.03,0.0492,0.0115,-0.159,-0.304,0.159,log
60-79,"Reference: Fixed, Report: Day of week",0.0809,0.0206,0.0399,0.0199,-0.25,-0.261,0.141,log
60-79,"Reference: Age, Report: Day of week",0.0923,0.0223,0.0578,0.0115,-0.262,-0.449,0.159,log
60-79,"Reference: Age and week, Report: Day of week",0.0932,0.0227,0.0579,0.0118,-0.254,-0.44,0.161,log
60-79,"Reference: Age and week by age, Report: Day of week",0.124,0.0266,0.0885,0.00831,-0.291,-0.583,0.203,log
60-79,"Independent by age, Reference: Week, Report: Day of week",0.0681,0.0249,0.0207,0.0219,-0.121,-0.12,0.127,log
60-79,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0573,0.0244,0.0188,0.0136,-0.0669,-0.145,0.106,log
80+,"Reference: Fixed, Report: Fixed",0.079,0.029,0.0274,0.0218,-0.127,-0.103,0.14,log
80+,"Reference: Fixed, Report: Day of week",0.076,0.0205,0.0175,0.0372,-0.208,-1.4e-05,0.133,log
80+,"Reference: Age, Report: Day of week",0.0747,0.0222,0.0297,0.0219,-0.191,-0.187,0.135,log
80+,"Reference: Age and week, Report: Day of week",0.0767,0.0227,0.0305,0.0225,-0.179,-0.177,0.137,log
80+,"Reference: Age and week by age, Report: Day of week",0.0978,0.0271,0.0546,0.0149,-0.199,-0.381,0.17,log
80+,"Independent by age, Reference: Week, Report: Day of week",0.0602,0.023,0.0196,0.017,-0.112,-0.187,0.112,log
80+,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0534,0.0231,0.0184,0.0113,-0.0614,-0.218,0.0989,log
