model,nowcast_date,run_time,run_time_mins,run_time_hrs
"Reference: Fixed, Report: Fixed",2021-11-01,1602.5,26.7083333333333,0.445138888888889
"Reference: Fixed, Report: Fixed",2021-11-02,2003.8,33.3966666666667,0.556611111111111
"Reference: Fixed, Report: Fixed",2021-11-03,2076.6,34.61,0.576833333333333
"Reference: Fixed, Report: Fixed",2021-11-04,1988.4,33.14,0.552333333333333
"Reference: Fixed, Report: Fixed",2021-11-05,1321.1,22.0183333333333,0.366972222222222
"Reference: Fixed, Report: Fixed",2021-11-06,1314.9,21.915,0.36525
"Reference: Fixed, Report: Fixed",2021-11-07,1274.6,21.2433333333333,0.354055555555556
"Reference: Fixed, Report: Fixed",2021-11-08,1230.7,20.5116666666667,0.341861111111111
"Reference: Fixed, Report: Fixed",2021-11-09,1270.5,21.175,0.352916666666667
"Reference: Fixed, Report: Fixed",2021-11-10,1296.1,21.6016666666667,0.360027777777778
"Reference: Fixed, Report: Fixed",2021-11-11,1330.4,22.1733333333333,0.369555555555556
"Reference: Fixed, Report: Fixed",2021-11-12,1363.9,22.7316666666667,0.378861111111111
"Reference: Fixed, Report: Fixed",2021-11-13,1386,23.1,0.385
"Reference: Fixed, Report: Fixed",2021-11-14,1379.1,22.985,0.383083333333333
"Reference: Fixed, Report: Fixed",2021-11-15,1379.2,22.9866666666667,0.383111111111111
"Reference: Fixed, Report: Fixed",2021-11-16,1386.4,23.1066666666667,0.385111111111111
"Reference: Fixed, Report: Fixed",2021-11-17,1406.8,23.4466666666667,0.390777777777778
"Reference: Fixed, Report: Fixed",2021-11-18,1432.8,23.88,0.398
"Reference: Fixed, Report: Fixed",2021-11-19,1457.2,24.2866666666667,0.404777777777778
"Reference: Fixed, Report: Fixed",2021-11-20,1476.5,24.6083333333333,0.410138888888889
"Reference: Fixed, Report: Fixed",2021-11-21,1415.2,23.5866666666667,0.393111111111111
"Reference: Fixed, Report: Fixed",2021-11-22,1394.2,23.2366666666667,0.387277777777778
"Reference: Fixed, Report: Fixed",2021-11-23,1400,23.3333333333333,0.388888888888889
"Reference: Fixed, Report: Day of week",2021-11-01,1792,29.8666666666667,0.497777777777778
"Reference: Fixed, Report: Day of week",2021-11-02,1672.7,27.8783333333333,0.464638888888889
"Reference: Fixed, Report: Day of week",2021-11-03,1858.4,30.9733333333333,0.516222222222222
"Reference: Fixed, Report: Day of week",2021-11-04,1745.7,29.095,0.484916666666667
"Reference: Fixed, Report: Day of week",2021-11-05,3927.9,65.465,1.09108333333333
"Reference: Fixed, Report: Day of week",2021-11-06,2727.7,45.4616666666667,0.757694444444445
"Reference: Fixed, Report: Day of week",2021-11-07,2419.7,40.3283333333333,0.672138888888889
"Reference: Fixed, Report: Day of week",2021-11-08,2220.6,37.01,0.616833333333333
"Reference: Fixed, Report: Day of week",2021-11-09,2330.6,38.8433333333333,0.647388888888889
"Reference: Fixed, Report: Day of week",2021-11-10,2257,37.6166666666667,0.626944444444444
"Reference: Fixed, Report: Day of week",2021-11-11,2127.6,35.46,0.591
"Reference: Fixed, Report: Day of week",2021-11-12,2294.6,38.2433333333333,0.637388888888889
"Reference: Fixed, Report: Day of week",2021-11-13,2077.9,34.6316666666667,0.577194444444444
"Reference: Fixed, Report: Day of week",2021-11-14,1882.6,31.3766666666667,0.522944444444445
"Reference: Fixed, Report: Day of week",2021-11-15,1903.2,31.72,0.528666666666667
