model,nowcast_date,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,time
"Reference: Age and week by age, Report: Day of week",2021-10-01,2.26,1109,0.5545,10,2,0.001,41
"Reference: Age and week by age, Report: Day of week",2021-10-07,3.12,2000,1,9,13,0.0065,41
"Reference: Age and week by age, Report: Day of week",2021-10-20,1.06,1671,0.8355,8,329,0.1645,41
"Independent by age, Reference: Week, Report: Day of week",2021-10-16,2.24,1251,0.6255,8,11,0.0055,41
"Independent by age, Reference: Week, Report: Day of week",2021-11-15,1.06,104,0.052,7,976,0.488,41
